created_at,reviewer_name,review_text,rating_overall,like_count,restaurant_name,city,primary_cuisine,date,year_month,day_of_week,hour_of_day,restaurant_review_count,restaurant_overall_rating
2023-08-09 20:34:00,user_856,Portion size was generous. paneer curry was too salty. packaging was neat.,4,265,Biryani Blues,Kolkata,curry,2023-08-09,2023-08,2,20,6349,3.0
2023-06-05 01:57:00,user_1943,Portion size was generous. dessert was fresh and tasty. oil was excessive.,3,489,Masala Magic,Hyderabad,north indian,2023-06-05,2023-06,0,1,6192,2.96
2023-12-04 07:55:00,user_989,Rice was undercooked. dessert was fresh and tasty. fries were soggy.,4,429,Wok & Roll,Delhi,south indian,2023-12-04,2023-12,0,7,6201,3.01
2023-05-15 23:14:00,user_1873,Food spilled during delivery. delivery was late. food arrived cold.,2,199,Wok & Roll,Chennai,street food,2023-05-15,2023-05,0,23,6201,3.01
2023-11-02 20:08:00,user_132,Delivery was late. paneer curry was too salty.,5,432,Pizza Junction,Mumbai,street food,2023-11-02,2023-11,3,20,6182,2.99
2023-03-10 05:48:00,user_1102,Packaging was neat. chicken biryani was perfectly cooked.,5,370,Spice Villa,Bangalore,south indian,2023-03-10,2023-03,4,5,6366,2.99
2023-02-16 02:53:00,user_1726,Delivery was late. dessert was fresh and tasty.,4,236,Biryani Blues,Pune,street food,2023-02-16,2023-02,3,2,6349,3.0
2023-07-18 20:19:00,user_1782,Food spilled during delivery. food arrived cold. spices were well balanced.,5,0,Wok & Roll,Delhi,biryani,2023-07-18,2023-07,1,20,6201,3.01
2023-08-31 09:07:00,user_1616,Food arrived cold.,3,62,Spice Villa,Mumbai,pizza,2023-08-31,2023-08,3,9,6366,2.99
2023-04-17 21:12:00,user_1693,Oil was excessive.,2,43,Masala Magic,Kolkata,north indian,2023-04-17,2023-04,0,21,6192,2.96
2023-10-20 17:11:00,user_1094,Paneer curry was too salty.,3,248,The Hungry Fork,Hyderabad,pizza,2023-10-20,2023-10,4,17,6185,3.02
2023-12-04 07:19:00,user_387,Oil was excessive. food arrived cold. fries were soggy.,4,447,Biryani Blues,Chennai,biryani,2023-12-04,2023-12,0,7,6349,3.0
2023-08-22 00:18:00,user_730,Gravy lacked flavor. food spilled during delivery. paneer curry was too salty.,5,223,Urban Tadka,Kolkata,north indian,2023-08-22,2023-08,1,0,6131,2.98
2023-03-28 06:29:00,user_1142,Oil was excessive. gravy lacked flavor. paneer curry was too salty.,4,198,Masala Magic,Mumbai,street food,2023-03-28,2023-03,1,6,6192,2.96
2023-08-22 08:55:00,user_674,Fries were soggy. chicken biryani was perfectly cooked. spices were well balanced.,1,182,Curry Nation,Delhi,biryani,2023-08-22,2023-08,1,8,6394,2.99
2023-12-12 14:29:00,user_1483,Gravy lacked flavor.,4,203,Wok & Roll,Delhi,biryani,2023-12-12,2023-12,1,14,6201,3.01
2023-09-08 13:08:00,user_111,Spices were well balanced. oil was excessive.,3,281,Curry Nation,Hyderabad,chinese,2023-09-08,2023-09,4,13,6394,2.99
